MatchID,Home,Away,Stadium,D/N,Href
0,Mumbai Indians,Rising Pune Supergiants,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html
1,Kolkata Knight Riders,Delhi Daredevils,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html
2,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html
3,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html
4,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html
5,Gujarat Lions,Rising Pune Supergiants,"Saurashtra Cricket Association Stadium, Rajkot",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html
6,Delhi Daredevils,Kings XI Punjab,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980913.html
7,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980915.html
8,Mumbai Indians,Gujarat Lions,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980917.html
9,Kings XI Punjab,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980919.html
10,Royal Challengers Bangalore,Delhi Daredevils,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980921.html
11,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980923.html
12,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980925.html
13,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980927.html
14,Gujarat Lions,Sunrisers Hyderabad,"Saurashtra Cricket Association Stadium, Rajkot",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980929.html
15,Rising Pune Supergiants,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980931.html
16,Delhi Daredevils,Mumbai Indians,"Feroz Shah Kotla, Delhi",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980933.html
17,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980935.html
18,Gujarat Lions,Royal Challengers Bangalore,"Saurashtra Cricket Association Stadium, Rajkot",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980937.html
19,Rising Pune Supergiants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980939.html
20,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980941.html
21,Sunrisers Hyderabad,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980943.html
22,Delhi Daredevils,Gujarat Lions,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980945.html
23,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980947.html
24,Rising Pune Supergiants,Gujarat Lions,"Maharashtra Cricket Association Stadium, Pune",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980949.html
25,Delhi Daredevils,Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980951.html
26,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980953.html
27,Gujarat Lions,Kings XI Punjab,"Saurashtra Cricket Association Stadium, Rajkot",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980955.html
28,Rising Pune Supergiants,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980957.html
29,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980959.html
30,Gujarat Lions,Delhi Daredevils,"Saurashtra Cricket Association Stadium, Rajkot",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980961.html
31,Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980963.html
32,Delhi Daredevils,Rising Pune Supergiants,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980965.html
33,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980967.html
34,Royal Challengers Bangalore,Rising Pune Supergiants,"M Chinnaswamy Stadium, Bangalore",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980969.html
35,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980971.html
36,Mumbai Indians,Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980973.html
37,Kolkata Knight Riders,Gujarat Lions,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980975.html
38,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980977.html
39,Rising Pune Supergiants,Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980979.html
40,Royal Challengers Bangalore,Mumbai Indians,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980981.html
41,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980983.html
42,Mumbai Indians,Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980985.html
43,Royal Challengers Bangalore,Gujarat Lions,"M Chinnaswamy Stadium, Bangalore",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980987.html
44,Kolkata Knight Riders,Rising Pune Supergiants,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980989.html
45,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980991.html
46,Mumbai Indians,Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980993.html
47,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980995.html
48,Rising Pune Supergiants,Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980997.html
49,Royal Challengers Bangalore,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980999.html
50,Gujarat Lions,Kolkata Knight Riders,"Green Park, Kanpur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981001.html
51,Delhi Daredevils,Sunrisers Hyderabad,"Shaheed Veer Narayan Singh International Stadium, Raipur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981003.html
52,Rising Pune Supergiants,Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981005.html
53,Gujarat Lions,Mumbai Indians,"Green Park, Kanpur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981007.html
54,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981009.html
55,Delhi Daredevils,Royal Challengers Bangalore,"Shaheed Veer Narayan Singh International Stadium, Raipur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981011.html
56,Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981013.html
57,Sunrisers Hyderabad,Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981015.html
58,Gujarat Lions,Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981017.html
59,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981019.html
