Name,Matches,Innings,Runs,Average,Strike Rate,Highest Score
CH Gayle,272,267,9668,42.03,150.66,175
BJ Hodge,262,248,7052,36.72,131.27,106
BB McCullum,251,247,6955,31.32,137.07,158
DA Warner,222,221,6921,34.77,143.61,135
V Kohli,206,193,6461,41.68,133.07,113
KA Pollard,327,293,6354,30.84,151.9,89
Shoaib Malik,247,232,6338,37.95,123.06,95
SK Raina,242,228,6326,33.12,139,109
DR Smith,267,260,6245,26.23,127.52,110
RG Sharma,236,225,6209,33.38,131.65,109
LJ Wright,256,236,6022,28.54,145.91,153
DJ Hussey,258,243,5960,30.56,133.12,100
RN ten Doeschate,282,247,5605,29.34,135.84,121
AB de Villiers,216,200,5390,33.47,144.58,133
G Gambhir,211,207,5382,28.62,120.8,93
KC Sangakkara,207,201,5321,29.23,126.93,94
SR Watson,207,200,5300,30.11,139.69,124
TM Dilshan,221,217,5193,27.04,122.82,104
JP Duminy,210,197,5137,38.05,122.28,99
DJ Bravo,329,278,5125,25.24,124.9,70
RV Uthappa,198,192,5059,29.41,132.74,92
DPMD Jayawardene,208,201,5036,28.61,129.92,110
MJ Guptill,170,165,5030,34.21,127.92,120
MS Dhoni,245,219,4954,37.53,135.8,73
AJ Finch,162,158,4945,34.58,133.9,156
LRPL Taylor,222,207,4928,30.6,133.4,111
LMP Simmons,180,178,4902,30.63,115.61,100
MJ Lumb,214,212,4900,24.5,138.33,124
RS Bopara,233,216,4810,27.48,119.59,105
CL White,207,198,4737,30.56,127.99,141
SE Marsh,135,133,4703,40.89,129.2,115
DA Miller,212,193,4633,34.83,137.39,101
Umar Akmal,206,192,4632,31.72,132.91,115
MEK Hussey,161,149,4569,37.45,124.9,116
KP Pietersen,159,154,4551,34.74,136.13,115
JH Kallis,176,171,4416,30.88,112.45,97
S Dhawan,160,159,4299,30.7,119.38,95
EJG Morgan,200,187,4269,26.84,128.66,85
Mohammad Hafeez,196,187,4174,24.12,124.11,102
RE Levi,165,158,4140,28.16,142.95,117
YK Pathan,213,191,4092,28.41,144.49,100
Azhar Mahmood,230,207,4091,25.56,135.32,106
V Sehwag,159,157,4061,26.89,147.83,122
Yuvraj Singh,187,176,4047,26.45,131.14,83
Ahmed Shehzad,149,149,4001,28.17,124.6,113
AD Hales,147,146,3911,28.34,137.95,116
JEC Franklin,197,177,3803,28.38,124.93,90
Kamran Akmal,182,166,3777,25.18,128.29,105
JA Morkel,287,231,3767,25.8,137.93,73
F du Plessis,166,152,3749,27.56,123.97,119
AC Voges,159,148,3691,31.27,126.1,82
M Vijay,150,148,3684,25.76,121.82,127
AM Rahane,143,137,3682,30.68,118.43,103
KD Karthik,199,175,3682,24.06,127.66,90
Q de Kock,120,114,3531,33.95,135.49,126
MA Carberry,138,129,3496,30.93,123.05,100
C Kieswetter,124,121,3367,31.76,122.3,89
AD Russell,222,183,3364,24.55,166.53,100
GJ Maxwell,163,154,3304,23.76,156.29,145
Shakib Al Hasan,209,190,3293,20.84,122.87,86
Shahid Afridi,224,198,3273,19.02,155.7,80
JJ Roy,124,121,3259,28.33,143.88,122
MN Samuels,132,130,3251,31.87,118,106
SR Patel,168,149,3196,25.77,124.16,90
AT Rayudu,160,149,3174,24.79,122.4,81
PA Patel,156,153,3173,22.34,120,82
JD Ryder,130,126,3111,26.36,147.65,107
H Davids,145,138,3101,24.22,125.04,112
Misbah-ul-Haq,138,122,3067,34.07,118.69,107
JC Buttler,160,142,3066,28.38,147.19,73
HM Amla,105,104,3013,31.71,126.33,97
JM Vince,119,114,2994,29.35,128.44,107
MN van Wyk,115,111,2982,30.74,122.26,114
MK Pandey,141,132,2950,25.87,117.52,114
CA Ingram,119,116,2855,27.45,133.66,101
GJ Bailey,148,132,2838,28.38,131.02,76
ADS Fletcher,106,105,2754,29.29,112.31,90
SPD Smith,140,121,2652,28.82,125.98,101
DT Christian,174,149,2549,21.78,132.27,129
Imran Nazir,102,100,2540,28.22,149.14,93
DJG Sammy,216,181,2531,19.77,138.15,60
Abdul Razzaq,137,121,2524,26.85,131.59,109
C Munro,123,110,2500,27.77,145.34,100
MK Tiwary,124,109,2399,29.61,113.32,75
WP Saha,146,123,2383,24.82,130.64,115
Nasir Jamshed,108,105,2382,24.81,123.48,104
NT Broom,110,103,2316,25.45,117.44,117
KS Williamson,103,95,2296,27.01,118.84,101
MC Henriques,136,119,2293,24.39,123.81,77
J Charles,98,97,2288,24.34,126.26,94
AD Mathews,142,121,2277,26.17,121.76,81
Khalid Latif,108,103,2277,24.75,118.96,88
NV Ojha,141,130,2276,20.5,119.09,94
SS Tiwary,119,103,2273,30.3,121.87,69
RJ Nicol,102,90,2251,28.13,120.43,101
HD Rutherford,93,91,2233,25.37,141.41,91
TR Birt,109,105,2188,22.79,129,94
LD Chandimal,95,85,2186,28.02,118.09,93
MM Ali,106,101,2136,22.72,129.06,90
RR Rossouw,86,84,2089,26.78,129.91,78
DM Bravo,90,82,2050,33.6,118.01,86
CA Lynn,80,75,2045,31.95,140.74,101
Khurram Manzoor,79,78,2000,27.39,114.81,109
F Behardien,123,101,1996,29.79,124.28,72
NLTC Perera,178,146,1955,18.61,141.46,72
SV Samson,91,86,1937,25.48,118.32,87
Mandeep Singh,102,90,1924,25.65,122.62,77
RA Jadeja,183,129,1887,20.96,121.66,48
CK Kapugedera,108,97,1861,21.63,131.33,96
Sharjeel Khan,70,70,1806,26.95,141.2,117
WU Tharanga,71,70,1806,26.95,124.55,83
IK Pathan,163,127,1796,23.02,123.35,60
D Ramdin,155,111,1747,21.56,121.31,84
J Botha,184,134,1747,19.62,112.2,67
AP Devcich,87,78,1711,23.43,124.43,92
JL Ontong,127,105,1710,20.11,117.44,59
RR Hendricks,67,59,1683,35.06,119.7,98
Sohail Tanvir,233,146,1660,16.27,120.37,60
BMAJ Mendis,111,94,1658,22.1,121.46,67
GH Worker,72,66,1644,27.86,123.23,89
IR Bell,67,65,1633,28.15,121.41,90
NL McCullum,173,135,1618,16.51,125.91,76
Sohaib Maqsood,69,67,1596,26.6,125.47,86
PG Fulton,84,79,1587,22.67,122.35,88
Asad Shafiq,69,66,1572,27.1,116.87,92
C de Grandhomme,92,83,1571,24.93,167.3,66
MA Agarwal,79,74,1568,22.72,127.16,111
UT Khawaja,55,54,1565,31.93,124.7,109
Umar Amin,64,60,1540,30.8,121.35,82
GD Elliott,98,84,1534,23.96,130.55,70
DR Flynn,79,78,1486,19.55,124.14,86
BJ Haddin,78,73,1468,24.06,125.57,76
DJ Willey,116,84,1467,22.56,140.38,100
EMDY Munaweera,78,76,1466,20.36,122.16,77
L Ronchi,106,92,1454,18.64,139.8,76
JM Bairstow,89,77,1448,23.35,123.76,102
Rafatullah Mohmand,56,55,1423,26.84,133.23,78
Sarfraz Ahmed,106,76,1421,29,126.98,76
SW Billings,86,81,1420,19.72,121.67,61
E Lewis,49,48,1402,29.82,131.64,101
BJ Rohrer,85,72,1396,26.84,133.33,64
MDKJ Perera,74,71,1391,20.76,126.22,84
Y Venugopal Rao,83,71,1390,23.55,121.71,71
M Vohra,57,55,1349,26.45,126.78,77
Harbhajan Singh,209,125,1341,16.55,138.81,78
KM Jadhav,84,76,1325,24.53,138.45,63
MS Bisla,65,64,1324,21.7,110.7,92
AP Tare,65,57,1278,26.62,127.29,71
R McLaren,156,110,1267,19.79,110.94,51
JP Faulkner,134,99,1260,22.1,127.78,73
BR Dunk,62,59,1255,22.01,121.49,96
CAK Walton,62,59,1254,23.22,112.26,99
RJ Peterson,141,97,1231,16.41,111.6,72
KL Rahul,58,48,1229,32.34,127.35,110
MS Wade,88,72,1228,21.54,121.58,80
BA Stokes,74,65,1226,22.7,134.72,77
Yasir Arafat,226,136,1210,13.9,118.86,49
AM Nayar,88,75,1193,20.92,122.35,79
TAM Siriwardana,88,80,1190,19.19,135.84,66
UBT Chand,59,57,1188,22,118.8,125
NJ Maddinson,56,55,1183,23.19,129.28,85
JE Root,53,47,1182,31.1,129.18,92
KK Nair,64,58,1179,23.58,122.3,83
TT Bresnan,126,93,1176,20.27,129.08,51
S Anirudha,65,56,1175,25.54,123.42,77
Awais Zia,55,55,1162,22.34,131.74,100
DP Hyatt,65,59,1141,22.82,105.55,89
STR Binny,107,80,1136,19.92,127.49,49
R Bhatia,137,87,1133,22.21,118.51,107
Haris Sohail,45,44,1118,38.55,107.7,69
JDP Oram,105,85,1111,16.58,126.1,66
MR Marsh,59,52,1110,29.21,120.12,77
PJ Hughes,34,34,1110,42.69,117.21,87
NJ Reardon,66,59,1109,21.74,122.94,56
HDRL Thirimanne,68,58,1105,21.66,117.8,70
M Manhas,86,67,1102,22.04,104.75,52
CJ Anderson,72,57,1097,22.85,133.29,95
PP Chawla,179,107,1084,15.26,124.16,45
D Wiese,129,88,1072,20.61,150.14,71
DL Vettori,143,90,1041,16.01,119.65,57
CD Barnwell,80,68,1024,18.96,119.9,88
HH Pandya,65,50,1002,25.05,122.64,86
SA Yadav,80,66,1002,22.26,129.45,60
CA Pujara,54,46,1001,25.66,105.81,81
DG Brownlie,54,51,1000,20.4,142.65,86
LR Shukla,81,64,994,20.7,120.63,76
MD Gunathilaka,46,44,992,25.43,128.66,102
BJ Watling,60,53,990,21.52,107.72,75
JDS Neesham,69,53,989,26.72,137.74,59
Babar Azam,35,34,961,43.68,116.76,77
Gurkeerat Singh,62,54,947,21.52,122.98,93
Saad Nasim,58,49,935,25.97,117.16,69
CH Morris,123,70,931,24.5,152.37,82
GH Vihari,52,51,925,21.02,106.93,81
KV Sharma,90,62,911,21.18,123.1,67
Hammad Azam,70,62,890,18.93,125.35,66
DM de Silva,30,29,861,34.44,137.1,81
MF Maharoof,91,68,861,17.93,119.41,55
KDK Vithanage,48,41,839,23.3,144.15,63
Mohammad Rizwan,52,40,833,32.03,116.17,60
R Dhawan,68,52,823,27.43,110.17,65
AM Ellis,87,69,801,16.68,127.75,55
Mukhtar Ahmed,29,29,796,29.48,145.25,123
SS Iyer,35,35,796,24.12,127.36,86
WD Parnell,145,77,796,18.09,121.52,99
GP Swann,80,54,791,20.28,135.91,90
S Prasanna,81,64,790,15.8,161.22,52
ER Dwivedi,38,32,789,37.57,131.06,89
TM Head,32,31,787,30.26,148.49,101
RM Hira,99,57,777,20.44,136.31,91
TWM Latham,45,36,757,22.26,128.74,64
Bipul Sharma,71,53,749,22.02,141.58,79
DSNFG Jayasuriya,46,42,742,19.02,113.45,62
BCJ Cutting,58,46,720,23.22,155.84,42
MD Shanaka,36,32,711,27.34,153.23,131
Imad Wasim,74,55,703,20.08,124.2,54
RK Kleinveldt,110,75,694,13.6,148.92,46
YV Takawale,32,26,672,29.21,109.44,89
R Sathish,62,49,667,19.05,129.51,41
Sachin Baby,51,38,667,19.61,130.78,48
NE Bonner,42,39,661,19.44,90.3,82
Anwar Ali,92,63,656,16.4,139.87,65
CR Woakes,87,54,656,26.24,138.39,55
LE Plunkett,104,64,656,16.4,131.99,41
S Rana,42,38,654,22.55,111.41,62
A Mishra,168,78,649,13.52,96.43,49
JW Hastings,84,56,642,15.65,152.13,80
P Kumar,162,81,638,12.03,118.36,76
AR Patel,70,48,615,18.63,132.54,43
AU Rashid,131,71,615,13.08,104.06,36
Shakeel Ansar,65,40,591,17.9,107.06,100
Wahab Riaz,122,70,575,13.69,122.34,32
KK Cooper,141,84,565,11.53,135.49,32
A Ashish Reddy,69,54,561,14.38,129.56,37
DH Yagnik,51,41,559,17.46,113.38,70
N Dickwella,32,29,559,22.36,138.02,79
R Vinay Kumar,147,68,548,12.74,122.04,38
N Rana,19,17,544,34,149.86,97
P Negi,65,49,536,19.85,129.46,41
KOA Powell,30,29,532,19,108.57,47
CJ Jordan,64,42,531,18.96,120.95,45
N Deonarine,42,37,528,18.85,108.19,57
DJ Hooda,53,42,525,14.58,131.9,54
IG Butler,87,55,521,17.36,137.46,46
CR Brathwaite,60,44,512,14.22,153.29,36
KS Lokuarachchi,53,43,511,13.1,115.87,54
JC Tredwell,158,70,497,10.8,108.51,34
N Pooran,36,30,491,18.18,154.88,81
Parvez Rasool,37,31,478,18.38,97.15,52
R Ashwin,195,62,474,13.94,109.21,46
Umar Gul,139,71,469,8.84,105.15,32
SS Pathirana,46,34,468,19.5,134.48,48
PSP Handscomb,35,29,460,27.05,112.19,103
DAJ Bracewell,44,30,456,28.5,144.76,37
RLB Rambukwella,41,29,452,18.08,152.18,70
TG Southee,120,57,441,10.25,147.98,74
Mohammad Sami,107,58,439,12.19,131.04,38
JO Holder,70,46,432,13.09,125.94,48
DAS Gunaratne,23,22,419,20.95,116.06,87
B Lee,120,56,416,13.86,131.23,48
CM Gautam,36,32,412,17.16,108.7,53
KH Pandya,27,18,404,31.07,164.89,86
MP Stoinis,27,23,404,20.2,115.09,52
SP Narine,196,67,401,11.13,122.62,30
NS Naik,18,17,400,25,123.45,69
BKG Mendis,17,16,377,25.13,134.64,65
KMDN Kulasekara,99,51,370,10.27,122.51,31
AD Nath,34,29,357,16.22,109.5,35
NM Coulter-Nile,76,44,341,14.82,125.83,42
GB Hogg,125,43,340,14.78,106.91,54
CS Baugh,40,26,330,15.71,123.59,40
I Udana,72,41,301,10.03,113.58,42
KD Mills,98,44,301,10.75,99.01,33
VH Zol,12,11,298,27.09,122.63,109
SL Malinga,221,66,287,6.83,97.95,37
MG Johnson,82,46,280,11.2,103.7,30
Ishan Kishan,19,19,277,14.57,93.26,48
AC Agar,27,21,274,15.22,113.22,68
AR Nurse,63,40,273,13.65,112.8,24
PM Nevill,40,30,273,15.16,110.52,25
SMSM Senanayake,88,43,259,10.36,93.5,20
DW Steyn,179,54,256,8,114.28,27
CJ McKay,96,39,255,12.75,120.85,21
SN Khan,24,18,248,24.8,168.7,45
Abdur Rehman,80,33,244,9.76,105.62,30
Saeed Ajmal,183,58,240,8.27,107.62,21
MJ Henry,53,27,233,14.56,171.32,42
Bilawal Bhatti,54,30,232,13.64,133.33,38
SA Abbott,44,31,229,9.54,98.7,39
J Theron,120,49,228,9.5,107.54,31
B Kumar,102,41,216,9.39,101.88,24
AM Phangiso,104,35,198,8.25,96.58,29
RR Pant,10,10,198,24.75,130.26,69
J Yadav,29,20,196,19.6,115.97,31
VS Malik,41,18,189,12.6,113.17,48
Ankit Sharma,46,26,188,9.89,112.57,41
Z Khan,127,46,187,8.9,89.9,26
S Nadeem,83,32,186,8.85,88.57,36
M Morkel,159,41,185,9.73,117.83,23
Zulfiqar Babar,71,30,178,16.18,107.87,20
HV Patel,61,33,177,7.69,129.19,26
JE Taylor,72,32,174,10.23,108.75,21
GE Mathurin,50,29,165,10.31,85.93,28
Iqbal Abdulla,81,28,165,13.75,98.8,33
AN Ahmed,53,26,164,10.93,125.19,20
SW Tait,167,53,163,5.82,81.09,26
KW Richardson,58,21,162,10.8,108.72,26
R Rampaul,114,36,155,9.68,101.3,23
SB Jakati,81,23,149,10.64,105.67,43
DS Kulkarni,96,29,142,12.9,99.3,28
TD Astle,37,21,142,10.92,93.42,28
S Badree,148,42,140,12.72,86.95,29
SCJ Broad,77,30,138,7.26,97.18,18
XJ Doherty,73,21,138,17.25,115.96,33
BW Hilfenhaus,77,32,134,8.93,93.05,38
P Sahu,15,11,134,19.14,113.55,27
Swapnil Singh,24,17,134,14.88,114.52,28
JW Dernbach,114,28,132,8.25,116.81,24
KJ Abbott,91,30,130,13,108.33,16
MJ McClenaghan,101,31,128,9.14,136.17,20
JD Unadkat,66,20,126,15.75,141.57,39
MA Starc,85,28,124,8.26,87.32,29
BAW Mendis,119,39,123,5.34,69.49,15
Mohammad Amir,64,24,122,8.13,88.4,21
Imran Tahir,134,24,118,9.07,122.91,17
MJ Santner,20,15,117,11.7,97.5,19
UT Yadav,97,28,117,9.75,121.87,24
AF Milne,57,21,116,23.2,124.73,18
RMS Eranga,37,20,104,8,94.54,24
S Gopal,14,8,103,17.16,117.04,39
NO Miller,78,24,99,12.37,86.08,19
AJ Tye,39,16,95,10.55,95.95,18
SS Cottrell,43,16,95,7.91,131.94,21
J Suchith,25,12,92,13.14,115,34
FH Edwards,89,27,87,5.8,83.65,11
PJ Cummins,48,20,79,6.58,90.8,14
AB Dinda,116,28,73,4.56,67.59,22
PP Ojha,134,37,72,4.23,68.57,11
VR Aaron,47,15,71,11.83,87.65,17
Anureet Singh,44,18,70,8.75,81.39,16
CJ Boyce,36,13,70,10,102.94,24
A Nehra,120,26,69,5.3,67.64,22
A Zampa,53,17,69,5.3,93.24,15
TL Best,54,21,69,6.27,87.34,17
DE Bollinger,123,17,68,6.8,95.77,17
MM Sharma,79,18,64,8,106.66,21
M de Lange,47,15,63,10.5,118.86,9
R Shukla,26,14,59,9.83,109.25,17
S Aravind,59,16,58,14.5,116,14
L Balaji,104,20,54,4.9,87.09,15
Raza Hasan,58,15,53,13.25,82.81,13
CRD Fernando,54,20,47,4.7,92.15,21
I Sharma,103,24,45,9,81.81,9
ST Finn,66,12,45,15,84.9,8
S Kaul,42,15,42,21,105,8
D Bishoo,40,16,39,13,100,8
Karanveer Singh,15,6,36,18,66.66,17
PV Tambe,54,11,36,9,53.73,14
RAS Lakmal,39,16,36,6,75,10
JJ Bumrah,82,11,35,8.75,83.33,14
Mohammad Irfan,58,11,31,7.75,106.89,8
YS Chahal,82,16,31,6.2,75.6,10
PVD Chameera,32,11,30,15,88.23,9
TA Boult,52,14,29,4.14,61.7,5
JDF Vandersay,25,12,28,9.33,58.33,8
Aizaz Cheema,78,17,25,12.5,60.97,6
B Fernando,18,9,25,4.16,62.5,11
Imran Khan (1),28,6,24,6,80,14
Mohammed Shami,52,13,22,3.66,62.85,5
SN Thakur,13,5,22,11,104.76,7
BB Sran,26,7,21,21,190.9,9
BE Hendricks,42,8,21,7,67.74,12
Sandeep Sharma,59,11,20,20,66.66,7
KMC Bandara,11,3,17,17,141.66,9
Shivam Sharma,8,4,17,5.66,94.44,12
K Rabada,30,8,16,5.33,76.19,8
R Tewatia,4,1,16,16,123.07,16
Fawad Ahmed,21,6,15,7.5,75,5
JM Muirhead,13,5,15,7.5,107.14,6
N Pradeep,21,7,15,3.75,88.23,9
RJW Topley,56,9,14,4.66,58.33,5
KC Cariappa,10,3,13,13,118.18,12
RG More,11,4,10,5,62.5,4
CAK Rajitha,18,6,9,9,45,4
DJ Muthuswami,22,7,9,3,60,4
LL Tsotsobe,77,11,7,3.5,43.75,3
M Ashwin,16,3,3,1.5,50,3
Usman Khan,18,1,2,-,66.66,2
S Kaushik,7,2,0,0,0,0
